,Wikipedia_Article,path
0,/wiki/Python_(programming_language),"['/wiki/Python_(programming_language)', '/wiki/High-level_programming_language', '/wiki/Programming_language', '/wiki/Computer_program', '/wiki/Sequence', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
1,/wiki/Artificial_intelligence,"['/wiki/Artificial_intelligence', '/wiki/Intelligence', '/wiki/Abstraction', '/wiki/Rule_of_inference', '/wiki/Philosophy_of_logic', '/wiki/Philosophy']"
2,/wiki/Machine_learning,"['/wiki/Machine_learning', '/wiki/Field_of_study', '/wiki/Knowledge', '/wiki/Declarative_knowledge', '/wiki/Awareness', '/wiki/Philosophy']"
3,/wiki/Deep_learning,"['/wiki/Deep_learning', '/wiki/Machine_learning', '/wiki/Field_of_study', '/wiki/Knowledge', '/wiki/Declarative_knowledge', '/wiki/Awareness', '/wiki/Philosophy']"
4,/wiki/Neural_network,"['/wiki/Neural_network', '/wiki/Neurons', '/wiki/Membrane_potential#Cell_excitability', '/wiki/Electric_potential', '/wiki/Work_(physics)', '/wiki/Energy', '/wiki/Physical_quantity', '/wiki/Quantification_(science)', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
5,/wiki/Computer_vision,"['/wiki/Computer_vision', '/wiki/Image_sensor', '/wiki/Attenuation', '/wiki/Physics', '/wiki/Scientific', '/wiki/Scientific_method', '/wiki/Empirical_evidence', '/wiki/Evidence', '/wiki/Proposition', '/wiki/Philosophy_of_language', '/wiki/Philosophy']"
6,/wiki/Natural_language_processing,"['/wiki/Natural_language_processing', '/wiki/Computer_science', '/wiki/Computation', '/wiki/Arithmetic', '/wiki/Mathematics', '/wiki/Mathematical_theory', '/wiki/Logical_reasoning', '/wiki/Mind', '/wiki/Thought', '/wiki/Cognition', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
7,/wiki/Robotics,"['/wiki/Robotics', '/wiki/Interdisciplinary', '/wiki/Academic_discipline', '/wiki/Knowledge', '/wiki/Declarative_knowledge', '/wiki/Awareness', '/wiki/Philosophy']"
8,/wiki/Data_science,"['/wiki/Data_science', '/wiki/Interdisciplinary', '/wiki/Academic_discipline', '/wiki/Knowledge', '/wiki/Declarative_knowledge', '/wiki/Awareness', '/wiki/Philosophy']"
9,/wiki/Big_data,"['/wiki/Big_data', '/wiki/Data_set', '/wiki/Data', '/wiki/Value_(semiotics)', '/wiki/Semiotics', '/wiki/Semiosis', '/wiki/Action_(philosophy)', '/wiki/Philosophy']"
